order_id,customer_id,order_date,city,product_category,product_name,quantity,unit_price,discount,total,note
ORD1211,CUST110,2024-07-23 06:35:00,Port Harcourt,Electronics,Power Bank,2.0,34687.0,15%,,contact: user128@example.com
ORD1200,CUST149,2024-04-12 00:03:00,Lagos,beauty,Conditioner,5.0,19015.0,0.0,,
ORD1020,CUST110,2025-02-09 05:17:00,Kano,Books,Comics,3.0,21365.0,0.2,51276.0,
ORD1113,CUST118,2025-01-20 21:06:00,Abuja,Fashion,Jeans,2.0,20584.0,0.1,,
ORD1066,CUST148,2024-04-27 03:46:00,Kano,Books,Textbook,4.0,4327.0,0.05,16442.6,call +234-809645219
ORD1023,CUST129,2025-01-24 17:25:00,Port Harcourt,Fashion,Cap,2.0,31688.0,10%,57038.4,
ORD1208,CUST132,2024-09-15 07:29:00,Lagos,Electronics,Phone Case,1.0,16416.0,0.0,,agent=C ref=4658
ORD1093,CUST131,2025-07-08 10:16:00,Ibadan,Beauty,Shampoo,5.0,8383.0,0.2,33532.0,call +234-805221045
ORD1077,CUST140,2024-08-02 00:00:00,Port Harcourt,Fashion,Cap,4.0,8326.0,0.15,,
ORD1053,CUST130,2024-07-31 12:25:00,Kano,Groceries ,Milk,4.0,3516.0,0.2,11251.2,agent=A ref=2909
ORD1089,CUST158,2024-08-02 22:37:00,Ibadan,Electronics,Power Bank,2.0,50762.0,0.15,,
ORD1158,CUST107,2025-02-19 05:19:00,Abuja,beauty,Lotion,5.0,17772.0,0.25,66645.0,agent=C ref=9219
ORD1203,CUST126,2024-03-19 12:21:00,Lagos,electronics,Headphones,3.0,81558.0,0.3,171271.8,promo=SUMMER60
ORD1010,CUST156,2025-03-31 07:06:00,Abuja,Beauty,Soap,1.0,14880.0,0.25,,promo=SUMMER66
ORD1030,CUST136,2024-09-10 18:36:00,Lagos,Beauty,Shampoo,3.0,27772.0,0.0,83316.0,contact: user34@example.com
ORD1153,CUST155,2025-02-16 04:57:00,Ibadan,Electronics,USB Cable,3.0,38503.0,0.05,109733.54999999999,contact: user86@example.com
ORD1013,CUST116,2024-03-19 00:40:00,Kano,  Fashion,Sneakers,4.0,11992.0,25%,35976.0,
ORD1215,CUST124,2024-07-27 12:40:00,Kano,Electronics,USB Cable,3.0,71620.0,0.25,161145.0,
ORD1085,CUST107,2024-09-04 03:07:00,Lagos,Fashion,Jacket,2.0,35601.0,0.15,,promo=SUMMER61
ORD1024,CUST126,2024-04-14 13:56:00,Ibadan,Beauty,Conditioner,1.0,"28,633.0",30%,20043.1,
ORD1119,CUST159,2024-09-21 01:13:00,Lagos,Beauty,Shampoo,1.0,"₦26,969",0.05,25620.55,
ORD1141,CUST128,2024-06-24 20:03:00,Port Harcourt,Groceries,Cooking Oil,2.0,5647.0,0.1,10164.6,contact: user116@example.com
ORD1178,CUST127,2025-03-24 16:21:00,Abuja,Books,Notebook,3.0,10137.0,0.25,22808.25,
ORD1035,CUST102,2024-04-23 07:11:00,Ibadan,Groceries,Milk,1.0,12888.0,0.1,11599.2,agent=C ref=4299
ORD1130,CUST100,2025-07-04 17:30:00,Kano,Beauty,Soap,3.0,13578.0,0.25,30550.5,
ORD1143,CUST126,2025-03-22 14:50:00,Lagos,Electronics,Headphones,3.0,21681.0,0.1,58538.700000000004,
ORD1109,CUST101,2025-05-28 01:21:00,Kano,Books,Notebook,2.0,14143.0,0.25,21214.5,
ORD1090,CUST134,2025-04-06 17:26:00,Lagos,Beauty,Conditioner,1.0,24911.0,0.05,,
ORD1065,CUST124,2024-03-29 17:35:00,Ibadan,Groceries,Cooking Oil,1.0,7010.0,0.25,,
ORD1199,CUST141,2024-11-16 01:48:00,Port Harcourt,Books,Planner,1.0,9187.0,25%,6890.25,
ORD1201,CUST133,2024-12-02 22:32:00,Kano,Books,Comics,4.0,"₦3,055",0.3,8554.0,call +234-807311436
ORD1041,CUST101,2025-02-18 21:36:00,Kano,Books,Notebook,3.0,18031.0,0.0,54093.0,
ORD1025,CUST143,2025-05-03 10:17:00,Lagos,Fashion,Sneakers,2.0,32345.0,0.3,45283.0,agent=A ref=6991
ORD1054,CUST144,2025-01-17 09:24:00,Port Harcourt,Groceries,Milk,3.0,2912.0,30%,6115.2,
ORD1099,CUST145,2024-11-22 15:50:00,Lagos,Books,Textbook,4.0,21949.0,0.3,61457.2,
ORD1074,CUST105,2024-12-13 06:19:00,Port Harcourt,Books,Notebook,4.0,16009.0,30%,44825.2,
ORD1202,CUST108,2024-05-30 08:36:00,Abuja,Electronics,Headphones,5.0,30568.0,0.25,,
ORD1044,CUST144,2025-01-01 15:01:00,Abuja,  Fashion,Jeans,1.0,5053.0,0.2,4042.4,promo=SUMMER79
ORD1006,CUST141,2025-01-08 14:21:00,Abuja,  Fashion,T-Shirt,5.0,29489.0,0.3,103211.5,
ORD1028,CUST144,2024-02-29 17:31:00,Lagos,Beauty,Shampoo,1.0,21868.0,0.1,19681.2,promo=SUMMER18
ORD1012,CUST144,2025-07-15 05:01:00,Lagos,Electronics,Phone Case,4.0,23445.0,0.3,,
ORD1029,CUST138,2024-09-21 03:14:00,Ibadan,Beauty,Shampoo,3.0,6156.0,0.2,,
ORD1192,CUST111,2024-03-30 20:12:00,Kano,Fashion,Sneakers,3.0,35898.0,0.15,91539.9,
ORD1018,CUST114,2025-07-15 09:16:00,Ibadan,Electronics,Phone Case,5.0,"17,625.0",0.25,,call +234-808218232
ORD1151,CUST135,2025-02-13 18:28:00,Abuja,Beauty,Soap,3.0,28094.0,0.3,,
ORD1005,CUST133,2025-08-12 15:24:00,Lagos,Groceries,Cooking Oil,2.0,11251.0,30%,,
